Customer_ID,Age,Gender,Phone No,Email,Location,Date,Flight ID,Preferred_Travel_Class,Booking_Channel,Destination_Type,Booking_Frequency,Distance,Miles_Accrued,Loyalty_Tier,Flight_Cancellations,Price_of_Ticket,Tenure,Revenue_Contribution,Ancillary_Purchases,Discount_Usage,Offer,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,AVG_INTERVAL time,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Complaints_Frequency,NPS,Recency
340,47,Female,(846)492-8243x313,haroldali@example.net,Australia,22-11-2024,AU7703,First Class,Phone,Domestic,6,8491,3878,Bronze,0,1290.13,8,710.44,1,44,Free Upgrade,5,1,5,1,1,4,1,1,3,3,3,2,6,4,50,120,0,3,223
341,55,Male,+1-797-326-8136x464,nbowers@example.com,USA,08-04-2024,US4201,First Class,Phone,Domestic,7,6582,3683,Silver,2,103.27,7,1664.8,2,45,Discount,5,2,2,3,3,2,2,5,5,5,2,3,15,1,108,32,1,8,39
342,37,Female,+1-704-513-6253x2696,daniellerichardson@example.com,Japan,29-08-2024,JA2780,Business,Phone,Domestic,10,8370,2587,Bronze,0,115.49,2,535.23,3,32,Discount,5,2,5,1,1,2,1,4,1,2,4,4,21,4,27,83,1,7,84
343,55,Male,788-758-7825,spaul@example.com,USA,20-11-2024,US3789,Economy,Mobile App,Domestic,8,1330,879,Platinum,0,1476.12,2,341.64,1,49,Discount,5,1,4,1,4,1,2,5,5,5,1,5,5,3,71,50,3,9,204
344,29,Female,223-990-6872,james76@example.org,Germany,05-10-2024,GE2637,First Class,Mobile App,International,2,2331,1233,Gold,1,695.26,4,11814.04,1,4,No Offer,5,2,4,3,5,4,3,2,4,5,4,3,28,4,41,23,3,9,7
345,36,Male,920-866-3291x116,craigmiller@example.com,France,29-07-2024,FR5602,Economy,Mobile App,International,5,4872,1666,Bronze,2,1860.5,9,132.56,2,30,Discount,2,4,5,4,1,4,2,1,3,2,5,3,10,5,33,79,5,10,79
346,41,Male,+1-482-621-0887x05333,shelby07@example.org,USA,08-02-2024,US6459,Economy,Agent,Domestic,4,4316,2785,Gold,0,716.35,2,1169.95,5,47,Free Upgrade,3,1,4,3,1,3,3,2,4,1,1,5,18,3,10,45,0,9,107
347,72,Female,362.992.7242,rangelkimberly@example.org,Canada,27-01-2024,CA4829,First Class,Mobile App,Domestic,2,5975,2469,Silver,0,430.57,7,7159.8,2,42,Discount,4,5,5,2,4,5,3,3,2,3,3,3,13,1,102,106,0,10,209
348,25,Male,001-934-385-1403,joshuaryan@example.com,Canada,15-01-2024,CA4021,Economy,Mobile App,Domestic,3,102,99,Gold,4,527.16,5,3708.18,1,31,No Offer,5,2,5,3,5,3,4,5,3,4,5,1,27,2,68,8,0,2,311
349,21,Male,-4154,johnflores@example.com,Germany,09-08-2024,GE3977,Business,Phone,Domestic,8,2894,223,Platinum,2,1408.25,2,9251.2,2,21,Free Upgrade,2,4,5,3,1,2,3,1,4,5,2,4,18,2,77,47,0,9,85
350,27,Female,(879)389-4572,christinawoodward@example.com,France,28-06-2024,FR4323,Economy,Mobile App,Domestic,10,6253,1920,Bronze,3,1801.62,5,985.55,5,43,Free Upgrade,4,4,1,3,1,4,3,4,1,1,1,5,21,1,82,28,1,6,201
351,71,Male,001-905-231-4409x709,austinstone@example.org,USA,02-02-2024,US1972,Economy,Mobile App,Domestic,3,6404,6272,Silver,3,1944.31,7,9709.1,1,5,Free Upgrade,1,4,3,5,4,5,3,1,2,5,2,4,25,3,55,18,1,8,71
352,22,Female,-9517,kristen27@example.com,Canada,07-09-2024,CA5459,Economy,Agent,International,7,9902,5472,Silver,3,376.72,2,3858.98,0,33,Lounge Access,5,3,2,2,2,2,5,5,5,1,2,2,7,3,117,118,2,7,114
353,76,Female,8906206691,kyle27@example.org,Australia,06-05-2024,AU5542,Economy,Mobile App,Domestic,5,7959,5033,Platinum,1,1084.83,9,1444.94,3,5,Lounge Access,1,2,1,5,5,2,3,5,5,1,3,1,18,2,73,87,1,1,329
354,56,Male,(271)808-2413x3727,dvalentine@example.com,USA,08-07-2024,US2468,Economy,Online,International,9,2934,686,Platinum,5,540.95,4,4646.79,4,29,Free Upgrade,4,1,5,1,2,3,5,2,4,2,3,2,18,1,93,28,4,8,304
355,72,Female,848.332.1204x3421,danielledavis@example.org,Canada,01-06-2024,CA6738,Economy,Mobile App,International,10,3221,1070,Bronze,2,1893.82,10,14844.8,1,26,Lounge Access,1,1,5,4,4,4,1,4,5,1,3,4,20,1,26,54,5,6,264
356,58,Female,(484)355-8772x4308,lynchjoshua@example.com,India,17-04-2024,IN2045,Economy,Phone,Domestic,5,3364,2329,Bronze,0,997.31,5,103.33,5,39,Free Upgrade,2,3,5,4,5,1,5,1,2,3,3,2,13,3,58,98,5,1,291
357,46,Female,942.364.9346x068,gillcarrie@example.com,France,29-09-2024,FR9776,First Class,Mobile App,International,5,8802,2244,Bronze,3,1381.66,1,4625.04,2,47,No Offer,3,2,2,2,3,2,3,4,1,3,4,4,9,3,45,36,0,7,2
358,74,Female,470.307.1710,travis47@example.net,Japan,29-08-2024,JA7623,Economy,Online,Domestic,5,3409,563,Gold,3,1527.87,9,8959.44,0,12,Free Upgrade,1,5,4,3,5,1,2,3,2,3,2,5,24,3,34,15,3,7,139
359,75,Female,(396)276-2685x65394,amy32@example.org,Germany,20-11-2024,GE2962,Economy,Mobile App,International,7,8138,813,Platinum,5,518.4,7,256.77,1,23,Lounge Access,3,2,4,4,3,5,5,5,5,1,5,1,24,5,8,110,1,10,189
360,19,Female,-4419,jlee@example.com,UK,30-10-2024,UK3261,Economy,Online,Domestic,7,2099,1698,Gold,0,1417.09,2,1429.16,5,33,Discount,2,1,2,3,2,2,1,1,4,2,3,5,7,1,51,101,3,5,302
361,49,Male,322-544-9311x72040,sergio79@example.com,Canada,02-06-2024,CA7810,Economy,Online,International,6,6274,3114,Bronze,4,767.34,3,10472.49,4,17,Lounge Access,4,4,3,1,4,5,2,5,4,3,5,1,18,1,62,93,2,5,289
362,63,Male,001-854-774-4592x117,zdavis@example.org,Germany,16-02-2024,GE8027,Economy,Online,International,4,4949,2537,Silver,3,1995.1,10,1798.38,3,8,Discount,3,4,4,3,4,4,4,3,5,3,5,3,24,4,79,72,1,6,118
363,64,Male,530-474-3989x280,heather97@example.com,Germany,17-07-2024,GE3414,First Class,Agent,Domestic,6,713,1243,Silver,5,385.34,4,9492.45,3,14,Lounge Access,4,4,1,2,1,3,1,4,4,4,3,5,8,1,83,80,2,6,237
364,34,Female,001-949-293-0800,bfrank@example.org,USA,22-11-2024,US8003,Economy,Online,International,1,3923,1472,Silver,1,677.66,2,1472.36,4,10,Lounge Access,2,1,5,4,4,5,4,5,5,5,3,2,17,2,117,117,1,8,95
365,80,Female,(412)448-7178x10778,connerstephen@example.com,France,28-07-2024,FR2060,First Class,Phone,International,3,2894,114,Gold,0,726.35,7,3899.62,4,15,Free Upgrade,1,1,5,4,5,5,1,1,1,2,5,4,15,4,94,3,2,7,191
366,54,Male,245.282.6649,tina36@example.com,Japan,28-02-2024,JA8407,Economy,Agent,Domestic,3,808,2875,Silver,5,1718.64,5,4956.03,0,23,No Offer,3,3,2,1,3,3,5,3,2,4,1,3,17,5,21,1,3,2,153
367,60,Male,3284917362,spark@example.org,Germany,21-09-2024,GE8611,Business,Online,Domestic,8,1252,7413,Platinum,1,119.55,5,3480.4,1,28,Lounge Access,2,1,3,1,3,2,4,2,2,1,1,1,7,5,94,59,5,8,245
368,67,Female,286-946-6188x13102,allison84@example.net,Australia,31-05-2024,AU6380,First Class,Phone,Domestic,7,8420,5425,Platinum,2,1058.83,8,1383.79,5,7,No Offer,3,4,5,3,5,5,4,3,3,2,2,2,3,4,106,59,2,2,142
369,73,Female,387.298.1093x230,jpalmer@example.org,India,22-08-2024,IN8544,Economy,Online,International,7,5129,2294,Platinum,1,1676.89,10,2707.64,0,48,Free Upgrade,2,5,3,5,4,1,2,5,3,5,1,3,15,1,27,20,3,7,53
370,50,Female,267.889.7454,mhoward@example.net,Germany,12-09-2024,GE4429,Business,Agent,Domestic,8,4393,184,Silver,1,1324.39,10,9875.52,4,31,No Offer,5,5,1,2,3,3,5,3,2,2,1,2,13,1,69,98,3,9,99
371,19,Female,312-767-1103,andersonpatrick@example.net,Canada,11-10-2024,CA9716,First Class,Mobile App,Domestic,8,7264,5074,Gold,3,120.87,10,18887.6,1,28,No Offer,1,1,2,2,2,5,2,4,5,2,2,5,4,2,66,59,2,10,338
372,71,Male,001-285-339-9225x325,tracysmith@example.org,Canada,14-03-2024,CA4598,Economy,Online,Domestic,3,6072,1953,Gold,0,113.21,5,10551.6,0,39,Discount,5,2,1,2,1,1,4,5,5,5,1,4,1,3,40,91,1,8,76
373,50,Female,(404)294-6845,amberwilliams@example.org,USA,19-03-2024,US5713,Business,Agent,International,2,5280,1985,Platinum,1,439.43,6,2325.76,5,2,Discount,3,5,4,5,4,2,5,2,3,5,1,1,18,5,73,50,1,9,251
374,42,Female,-9886,vperkins@example.org,USA,01-03-2024,US2462,Economy,Agent,International,9,7131,2744,Silver,2,1770.69,8,7333.6,0,22,Discount,1,4,5,5,1,5,3,4,5,1,4,2,26,2,22,46,4,10,191
375,56,Male,(683)904-6350x23728,stacy28@example.com,Canada,07-12-2024,CA8697,Business,Mobile App,International,4,3252,2073,Bronze,2,1232.65,5,13019.13,0,25,No Offer,3,3,4,1,4,4,2,5,4,5,2,4,14,3,99,35,2,2,331
376,80,Female,+1-830-389-2351x0902,jeangriffin@example.net,USA,15-01-2024,US8298,Economy,Mobile App,Domestic,8,2138,7257,Silver,2,1779.05,5,9357.39,4,15,Discount,3,4,2,3,3,5,3,3,1,2,4,5,12,2,92,85,3,2,141
377,37,Female,(670)564-5628,sherrynichols@example.com,India,12-10-2024,IN9724,Economy,Online,International,9,5718,1141,Gold,5,1601.88,5,13877.6,5,7,Discount,4,4,3,3,5,3,3,5,5,3,5,3,20,2,83,47,5,9,142
378,18,Male,7778456416,rodneythompson@example.org,France,23-01-2024,FR9009,First Class,Phone,International,9,3234,547,Silver,2,1530.06,1,13778.6,1,14,Discount,5,5,3,2,5,1,1,1,3,4,5,5,25,1,9,102,0,2,61
379,79,Female,001-469-538-5943x665,amandaweber@example.net,UK,13-11-2024,UK9281,Business,Mobile App,International,5,4231,6059,Silver,0,1959.88,5,1412.6,5,31,No Offer,4,3,3,1,1,5,3,4,1,5,2,2,17,5,70,12,1,7,212
380,70,Female,346-968-4938x629,xanderson@example.org,Germany,12-02-2024,GE2737,Business,Agent,Domestic,9,5192,1630,Platinum,3,1981.78,9,336.68,3,28,Free Upgrade,2,4,5,1,3,1,1,4,5,3,4,3,15,1,75,102,0,9,211
381,47,Female,425-754-3008,johnsonmichael@example.com,Canada,12-12-2024,CA8742,Economy,Online,International,7,4476,380,Bronze,0,513.08,10,3525.02,0,9,No Offer,5,2,4,3,2,4,2,4,2,2,2,1,6,4,89,105,5,10,260
382,23,Male,+1-270-205-4824x3320,steven65@example.com,UK,14-10-2024,UK2240,Economy,Agent,Domestic,10,4014,4291,Silver,5,185.55,2,11024.1,0,40,Lounge Access,4,2,4,4,3,5,2,1,3,1,1,4,28,2,92,96,1,8,92
383,67,Male,761-481-5053,jadegoodwin@example.org,France,21-07-2024,FR4754,First Class,Agent,International,5,6569,4604,Platinum,5,1888.88,8,2319.15,0,31,No Offer,5,2,5,3,1,3,2,2,4,2,3,4,1,4,69,31,0,10,132
384,41,Male,001-633-460-0550x1657,swest@example.org,UK,07-05-2024,UK6574,First Class,Agent,Domestic,8,4691,5169,Gold,4,1794.44,2,137.77,1,31,No Offer,4,3,3,3,5,2,4,2,4,4,5,1,21,1,45,85,0,1,32
385,34,Male,603-293-4851,kelseypetty@example.com,USA,30-10-2024,US7164,First Class,Agent,International,9,6419,119,Platinum,3,1259.77,5,777.18,3,33,Free Upgrade,2,2,3,4,2,1,1,5,5,2,1,2,21,4,12,114,4,6,124
386,37,Male,600-645-3681,rpope@example.org,Germany,01-02-2024,GE1061,Economy,Online,Domestic,3,8661,4444,Platinum,5,517.93,5,11217.6,3,26,Lounge Access,4,2,4,3,1,3,2,3,3,3,3,5,2,4,24,42,5,1,176
387,53,Female,(826)820-3671x616,sara60@example.net,Australia,21-09-2024,AU1638,First Class,Phone,Domestic,5,7182,466,Platinum,0,1954.02,7,630.96,0,11,Lounge Access,5,4,2,2,1,4,1,1,2,2,4,1,27,4,38,22,3,1,203
388,74,Male,(772)961-3210,smithkristina@example.org,India,13-09-2024,IN6921,Business,Mobile App,International,10,3932,3145,Bronze,5,888.94,7,11004.3,0,7,Discount,4,3,2,4,4,3,4,2,5,4,3,3,20,4,28,76,2,5,179
389,59,Female,-10564,cynthiadelacruz@example.net,Germany,08-08-2024,GE1320,First Class,Agent,Domestic,7,6593,3361,Bronze,2,1046.81,6,915.12,4,12,Free Upgrade,5,5,4,3,2,1,4,4,2,3,3,2,16,3,90,114,1,7,323
390,55,Male,+1-649-837-3703x134,christopherthomas@example.org,UK,23-02-2024,UK3319,First Class,Agent,Domestic,10,9298,3583,Bronze,2,233.85,8,13339.1,3,34,Discount,5,5,5,4,1,3,2,5,2,4,4,5,22,4,49,104,4,2,37
391,72,Female,8372055051,sabrinabecker@example.com,France,15-01-2024,FR8282,Business,Online,International,9,5879,590,Platinum,5,904.48,7,1870.79,0,25,No Offer,4,5,3,2,1,4,4,4,5,3,1,2,16,3,14,78,3,1,309
392,78,Female,001-879-861-6308x78145,meghan30@example.org,India,23-09-2024,IN2528,Business,Phone,Domestic,5,4398,5480,Gold,1,509.72,1,3990.66,4,41,Lounge Access,1,3,4,2,3,3,3,4,2,5,2,4,3,1,111,16,5,9,68
393,31,Female,978-823-7364x53604,hguerrero@example.org,France,04-10-2024,FR2857,First Class,Online,Domestic,7,6620,583,Platinum,2,263.98,7,4254.75,4,28,Discount,5,4,2,1,3,5,1,1,1,5,2,2,30,4,63,107,1,1,25
394,35,Female,938-399-6085x26912,ronald54@example.net,Japan,07-08-2024,JA7514,Business,Online,Domestic,3,5941,1162,Bronze,0,810.4,10,15903.76,1,30,Lounge Access,2,3,1,4,1,5,5,1,3,4,2,2,7,3,75,66,1,2,249
395,64,Female,535.444.1929,leslie34@example.net,Australia,11-06-2024,AU7576,Business,Phone,International,7,1618,3159,Silver,4,1527.45,4,12106.17,4,30,No Offer,2,4,1,3,5,1,2,5,1,3,5,1,9,5,73,74,3,4,297
396,25,Male,(692)606-4871,andrew11@example.com,Germany,22-06-2024,GE9833,Business,Agent,Domestic,8,4066,5841,Gold,3,1024.15,5,12147,5,11,Free Upgrade,3,4,4,3,4,2,4,5,2,2,2,4,5,2,4,4,1,7,139
397,52,Male,(278)725-0888,george01@example.com,Germany,25-03-2024,GE9684,Economy,Online,Domestic,3,4287,619,Gold,3,200.54,5,864.55,0,45,No Offer,2,5,5,5,5,2,4,4,5,5,4,5,15,5,73,32,4,2,328
398,64,Female,001-916-295-1763x409,jennifer87@example.org,France,29-05-2024,FR6112,Business,Agent,Domestic,6,4428,566,Gold,5,983.32,9,4620.35,3,28,Free Upgrade,5,4,3,1,3,2,3,5,4,4,2,3,24,4,31,114,1,6,127
399,31,Female,001-261-928-8564x412,james44@example.net,UK,08-11-2024,UK6847,Business,Agent,International,1,4393,793,Bronze,3,1901.9,2,3139.54,0,16,Discount,4,1,3,5,1,4,4,4,5,4,4,1,10,5,102,23,4,4,253
400,22,Female,001-820-275-6157x1708,diane40@example.net,India,08-10-2024,IN8060,First Class,Phone,Domestic,3,7257,721,Platinum,5,778.35,6,4212.18,2,20,No Offer,2,5,1,4,1,1,5,4,1,1,2,4,11,1,88,53,0,7,35
401,46,Male,7643197601,bnelson@example.org,Australia,19-11-2024,AU2870,Economy,Online,Domestic,10,8868,528,Silver,2,1022.33,3,7947.85,5,48,Discount,2,5,2,2,1,3,3,1,1,2,1,5,19,3,57,118,1,9,278
402,74,Male,(778)233-6278,qpadilla@example.net,USA,16-01-2024,US6018,Business,Phone,International,10,3602,1106,Bronze,4,238.22,8,10141.83,3,49,Lounge Access,2,4,3,5,2,2,3,1,4,4,1,5,27,4,118,57,1,10,343
403,48,Female,(370)243-3343x181,ygutierrez@example.net,France,26-08-2024,FR6156,Economy,Online,International,3,9398,1285,Gold,3,1303.58,1,10479.14,5,1,Free Upgrade,1,3,5,3,5,1,5,3,3,5,5,4,9,4,115,79,4,10,179
404,41,Male,429.526.7099x858,joshuamiller@example.org,Japan,26-11-2024,JA9684,Business,Agent,International,6,4335,3720,Gold,4,1733.61,6,2447.44,5,32,Lounge Access,5,5,3,4,3,5,4,1,4,5,2,2,20,1,9,77,5,7,72
405,70,Male,421.554.1060,annatyler@example.org,France,30-05-2024,FR7307,Economy,Agent,Domestic,4,4614,976,Silver,0,434.2,7,6346.72,5,0,Lounge Access,1,4,2,5,5,2,5,1,4,1,1,3,29,2,15,85,1,3,216
406,23,Male,508-242-7196,harriskelsey@example.net,Germany,24-02-2024,GE6299,First Class,Phone,International,5,7243,1928,Platinum,3,1011.67,2,2528.64,3,37,Lounge Access,4,2,4,1,4,4,2,1,2,5,5,3,4,3,24,94,2,10,331
407,62,Female,+1-492-340-1348x98439,amydaniels@example.org,USA,18-10-2024,US8124,Economy,Online,International,5,6142,3769,Bronze,0,1831.75,9,220.82,2,31,Discount,2,4,3,3,2,5,1,5,4,5,3,4,9,4,84,10,1,2,228
408,23,Male,963.386.0163,krausemarcus@example.com,UK,07-10-2024,UK3511,Business,Agent,Domestic,4,7629,2528,Platinum,0,462.53,5,5807.41,5,14,No Offer,4,4,2,2,1,1,5,2,5,3,5,2,24,5,45,81,3,6,73
409,57,Male,208.323.7910x915,dana35@example.org,France,17-06-2024,FR3289,Business,Online,International,3,4664,5986,Bronze,2,643.1,1,548.04,1,32,No Offer,4,2,5,4,1,5,5,1,5,4,1,3,7,5,23,62,3,3,78
410,68,Male,5375718626,matthew41@example.com,Canada,01-12-2024,CA5888,Business,Online,International,9,211,8537,Platinum,2,1613.57,1,14341.3,5,50,Free Upgrade,4,4,2,3,5,1,3,2,2,1,4,2,21,4,15,3,0,5,119
411,72,Female,(567)875-0969x80575,michael08@example.org,UK,05-12-2024,UK8589,Economy,Agent,Domestic,4,736,1087,Bronze,1,305.51,1,9841.5,0,29,Discount,1,5,1,1,1,4,5,5,4,2,4,3,17,4,114,68,2,9,149
412,75,Male,693.414.9632x2904,wanglarry@example.org,France,25-03-2024,FR4485,First Class,Agent,International,2,4011,4735,Bronze,1,974.48,3,3157.2,3,44,Free Upgrade,3,5,5,5,3,1,5,5,5,4,1,5,28,1,45,55,3,5,160
413,76,Female,001-833-286-9169x967,mdavis@example.com,Canada,14-07-2024,CA2097,Economy,Phone,International,5,94,1742,Bronze,4,1698.24,3,6412.5,5,42,No Offer,3,2,4,2,3,4,3,5,1,1,5,1,28,5,18,51,0,3,343
414,77,Female,226-948-1510,laurarivera@example.org,Australia,26-03-2024,AU4818,Business,Phone,International,4,5037,6239,Platinum,4,1999.02,9,17916.03,4,23,Discount,2,1,1,5,3,5,2,3,1,5,5,5,1,3,68,112,2,6,353
415,78,Female,579-596-0483,jamieclark@example.org,France,12-12-2024,FR7169,Economy,Agent,Domestic,10,6401,812,Silver,2,862.84,2,1516.86,5,34,Discount,5,4,2,4,1,5,3,1,4,2,4,3,19,5,70,58,1,2,314
416,59,Female,3528984083,fmiranda@example.org,France,22-09-2024,FR8537,Economy,Agent,International,5,9276,3047,Platinum,2,1480.69,8,11418.84,3,17,No Offer,4,2,1,2,5,4,3,3,4,3,3,1,17,4,16,35,1,8,55
417,52,Male,(470)693-4268x34678,cclark@example.org,India,11-01-2024,IN9198,First Class,Phone,Domestic,4,2079,2643,Platinum,5,1702.75,6,225.69,1,49,Lounge Access,5,3,5,2,1,1,2,2,1,4,2,1,3,5,63,7,3,5,18
418,56,Male,(975)958-4128x3988,smithfaith@example.org,Canada,10-07-2024,CA9307,First Class,Agent,International,2,2144,1327,Platinum,1,837.86,4,6933.36,1,2,Discount,3,5,3,1,5,3,3,2,5,3,1,1,20,1,48,85,4,4,206
419,18,Female,+1-815-292-1072x00017,jacksonstephen@example.net,France,14-04-2024,FR8524,Business,Mobile App,Domestic,9,5813,425,Silver,4,1195.61,10,6756.64,2,24,Free Upgrade,5,2,4,5,5,3,2,2,3,1,1,4,7,5,12,26,3,10,267
420,27,Male,2333414649,alexishughes@example.org,USA,28-06-2024,US6951,First Class,Online,International,9,4490,6262,Bronze,1,179.24,5,16389.4,3,48,Lounge Access,3,4,4,3,1,3,2,2,5,5,5,4,22,2,96,4,4,10,342
421,53,Female,415-890-9411,thomasdonald@example.com,USA,19-10-2024,US4281,First Class,Agent,International,5,2752,2665,Bronze,2,169.46,8,10589.11,4,1,Lounge Access,5,5,5,3,1,5,1,5,5,2,5,5,25,3,90,18,3,9,27
422,80,Female,(816)359-6505,lmyers@example.net,India,24-11-2024,IN4165,First Class,Online,Domestic,6,4064,1581,Bronze,4,135.86,5,10800.18,0,50,Discount,3,3,3,1,4,4,1,4,4,5,4,1,1,3,92,111,3,4,184
423,62,Male,001-655-408-1567x92650,gholt@example.com,Germany,25-05-2024,GE9616,Business,Agent,International,8,3687,6556,Bronze,1,1630.81,5,723,0,13,Lounge Access,3,,3,3,5,4,3,1,5,1,1,5,9,5,64,81,0,3,188
424,40,Female,(795)515-9872,vcarter@example.com,UK,05-03-2024,UK2523,Business,Agent,International,3,6719,4777,Bronze,3,249.51,1,1673.93,0,29,Lounge Access,4,4,1,1,1,3,2,4,3,4,4,5,7,3,1,69,4,2,84
425,42,Male,(662)337-9217x89759,jacquelinemills@example.net,Japan,08-05-2024,JA2669,Business,Mobile App,International,6,2204,3056,Bronze,1,1692.16,10,6391.25,2,1,Free Upgrade,4,2,2,3,3,3,3,4,3,5,5,2,26,2,73,15,5,5,351
426,48,Male,283-913-1637x813,kendra15@example.org,France,05-08-2024,FR7524,First Class,Online,Domestic,4,1412,3288,Bronze,2,1718.17,2,2503.41,2,26,No Offer,5,3,5,1,1,2,4,2,1,4,3,1,24,3,51,47,4,6,96
427,73,Female,-6564,zacharyvasquez@example.net,Germany,24-06-2024,GE1533,Economy,Phone,International,2,1198,4487,Gold,4,747.86,8,8961.18,5,29,Discount,1,2,3,5,1,3,3,1,1,5,3,4,7,5,53,57,4,8,191
428,68,Male,001-555-974-5353x7919,yporter@example.net,UK,23-02-2024,UK8019,Economy,Agent,International,3,3811,334,Platinum,2,1078.26,7,2503.6,0,25,No Offer,2,1,4,4,4,5,1,4,3,1,3,4,30,1,6,51,0,4,88
429,74,Male,492.879.2871,jmartin@example.net,UK,27-05-2024,UK5101,Economy,Mobile App,Domestic,4,6218,1602,Gold,0,244,4,4205.16,5,11,Free Upgrade,5,4,1,4,1,2,1,4,2,3,4,4,23,5,55,94,1,5,178
430,34,Male,465.210.3599,qrusso@example.org,USA,24-01-2024,US8064,Economy,Mobile App,International,2,2240,2022,Platinum,3,1329.16,5,337.76,0,13,Discount,5,1,2,2,4,4,2,3,5,4,4,3,29,3,116,81,0,4,279
431,56,Male,001-227-452-3372x82251,judith26@example.com,Germany,29-03-2024,GE2055,Business,Phone,Domestic,7,5274,4696,Platinum,2,343.79,8,413,3,27,Free Upgrade,2,5,4,4,5,3,3,1,1,5,2,5,23,5,66,88,2,2,311
432,80,Female,(768)332-6485x757,kshah@example.com,Japan,05-09-2024,JA8988,First Class,Agent,Domestic,3,9624,2746,Silver,3,1348.7,8,7703.64,1,0,Discount,4,3,1,1,5,1,5,3,2,3,5,1,17,3,99,13,4,5,128
433,53,Female,+1-485-367-9374x005,thomas76@example.net,India,25-07-2024,IN6305,Economy,Online,International,5,4287,4728,Silver,2,1983.55,3,1819.4,2,0,Free Upgrade,2,1,3,4,4,4,4,5,2,1,1,1,11,4,109,42,5,4,70
434,52,Male,+1-794-402-1365x9511,aberger@example.net,UK,20-04-2024,UK6965,Business,Online,Domestic,2,4528,2096,Platinum,0,874.51,2,11548.18,4,31,Discount,5,1,2,3,1,2,2,3,5,4,5,2,19,4,7,86,2,5,10
435,19,Female,505-366-7388,tiffanycaldwell@example.com,India,25-02-2024,IN3949,First Class,Mobile App,Domestic,2,7436,6957,Platinum,3,1644.13,2,9881.9,2,32,Discount,4,4,1,5,1,4,1,1,4,2,1,3,24,4,17,114,3,6,165
436,77,Female,596.222.1362x27195,cynthia10@example.org,Canada,16-11-2024,CA4501,First Class,Phone,Domestic,6,3859,6277,Silver,0,477.22,5,4139.19,2,49,Discount,2,5,3,1,4,5,3,5,2,2,5,5,29,1,47,15,4,5,192
437,28,Female,+1-510-762-2125x233,lisaramos@example.com,France,26-03-2024,FR1851,Business,Phone,International,4,4872,1959,Platinum,5,1038.27,9,13488.12,1,38,Discount,5,4,1,1,1,1,2,1,4,1,4,5,15,2,51,87,4,7,348
438,57,Female,(875)380-0014x38898,emorgan@example.org,India,15-09-2024,IN6456,First Class,Agent,Domestic,1,3281,6690,Gold,1,480.27,4,1907.55,5,27,Lounge Access,4,1,1,5,1,1,5,5,1,3,3,3,10,2,57,102,5,6,330
439,79,Female,4984983020,jason25@example.org,Canada,18-09-2024,CA9961,Business,Agent,Domestic,7,9252,4841,Platinum,1,1334.83,10,2600.4,5,45,Lounge Access,1,3,1,3,1,2,1,3,5,1,2,1,21,4,16,74,0,9,247
440,48,Male,498-651-6682x271,walkergregory@example.com,Japan,10-12-2024,JA9419,First Class,Mobile App,International,6,7255,385,Bronze,4,662.33,3,11606.24,1,23,Lounge Access,2,5,4,3,3,3,1,4,4,1,2,3,14,3,22,88,1,9,117
441,35,Male,001-876-647-7032x49421,downssabrina@example.com,Australia,27-04-2024,AU5553,First Class,Agent,International,8,4540,422,Gold,2,140.44,4,9706.05,5,8,No Offer,2,5,2,4,5,5,1,2,1,1,1,1,22,4,54,112,3,9,254
442,41,Male,(747)631-2368x09029,travisshah@example.com,UK,12-07-2024,UK6517,Business,Online,International,5,7446,863,Bronze,3,264.68,9,3417.36,3,24,Discount,3,1,2,5,4,4,4,1,5,1,2,5,5,1,99,28,0,6,18
443,28,Male,897-433-8397,nicholas55@example.net,Japan,16-09-2024,JA1233,First Class,Mobile App,Domestic,8,9492,2287,Bronze,5,1534.11,7,5872.59,0,19,No Offer,3,5,5,5,1,2,1,4,4,3,4,5,10,2,23,25,4,5,4
444,50,Female,(852)959-5701,debra59@example.net,Japan,13-11-2024,JA9471,Economy,Agent,International,8,1260,351,Silver,5,724.28,7,3478.8,0,23,No Offer,5,3,1,5,1,3,2,5,1,5,4,5,22,1,71,74,1,6,253
445,48,Male,(771)855-6454x811,kathleenwalker@example.net,USA,16-09-2024,US5463,Business,Phone,Domestic,8,4352,855,Silver,1,1377.83,3,8554.9,5,48,No Offer,1,2,2,5,3,4,3,2,3,4,3,2,27,2,99,98,2,4,49
446,55,Male,+1-295-880-2039x7866,michael79@example.org,Canada,19-08-2024,CA9781,Business,Phone,International,1,323,1831,Platinum,5,769.17,7,250.57,1,10,No Offer,5,5,3,3,2,1,1,5,1,2,4,1,4,4,19,100,1,3,46
447,31,Male,922.509.9644x750,odomgilbert@example.com,Australia,13-09-2024,AU6685,Economy,Online,Domestic,3,5359,1529,Platinum,4,1224.94,6,1504.14,2,42,Lounge Access,5,4,2,5,3,5,2,3,2,3,2,2,1,4,18,111,1,2,145
448,63,Female,001-522-457-6815x9565,santiagochristian@example.com,Germany,15-07-2024,GE7931,Business,Phone,Domestic,7,6659,1767,Silver,1,1114.78,5,10221.89,2,24,Free Upgrade,4,3,5,2,1,3,3,2,3,3,5,3,26,1,79,30,3,1,241
